timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,thrust_x,thrust_y,thrust_z
1756645487882,0.000000,3.035566,0.000000,0.000000,-6.212999,0.000000,0.000000,0.000000,0.000000
1756645487886,0.000000,3.009378,0.000000,0.000000,-6.212999,0.000000,0.000000,0.000000,0.000000
1756645487898,0.000000,2.931363,0.000000,0.000000,-6.376499,0.000000,0.000000,0.000000,0.000000
1756645487902,0.000000,2.905522,0.000000,0.000000,-6.376499,0.000000,0.000000,0.000000,0.000000
1756645487915,0.000000,2.823955,0.000000,0.000000,-6.539999,0.000000,0.000000,0.000000,0.000000
1756645487932,0.000000,2.713524,0.000000,0.000000,-6.703498,0.000000,0.000000,0.000000,0.000000
1756645487936,0.000000,2.687095,0.000000,0.000000,-6.703498,0.000000,0.000000,0.000000,0.000000
1756645487948,0.000000,2.600836,0.000000,0.000000,-6.866998,0.000000,0.000000,0.000000,0.000000
1756645487965,0.000000,2.484972,0.000000,0.000000,-7.030498,0.000000,0.000000,0.000000,0.000000
1756645487969,0.000000,2.459933,0.000000,0.000000,-7.030498,0.000000,0.000000,0.000000,0.000000
1756645487982,0.000000,2.367081,0.000000,0.000000,-7.193998,0.000000,0.000000,0.000000,0.000000
1756645487998,0.000000,2.245363,0.000000,0.000000,-7.357498,0.000000,0.000000,0.000000,0.000000
1756645488002,0.000000,2.215641,0.000000,0.000000,-7.357498,0.000000,0.000000,0.000000,0.000000
1756645488015,0.000000,2.121883,0.000000,0.000000,-7.520998,0.000000,0.000000,0.000000,0.000000
1756645488032,0.000000,1.994390,0.000000,0.000000,-7.684497,0.000000,0.000000,0.000000,0.000000
1756645488037,0.000000,1.954962,0.000000,0.000000,-7.684497,0.000000,0.000000,0.000000,0.000000
1756645488048,0.000000,1.865548,0.000000,0.000000,-7.847997,0.000000,0.000000,0.000000,0.000000
1756645488065,0.000000,1.733155,0.000000,0.000000,-8.011497,0.000000,0.000000,0.000000,0.000000
1756645488070,0.000000,1.695358,0.000000,0.000000,-8.011497,0.000000,0.000000,0.000000,0.000000
1756645488082,0.000000,1.598507,0.000000,0.000000,-8.174997,0.000000,0.000000,0.000000,0.000000
1756645488087,0.000000,1.553958,0.000000,0.000000,-8.174997,0.000000,0.000000,0.000000,0.000000
1756645488098,0.000000,1.461005,0.000000,0.000000,-8.338497,0.000000,0.000000,0.000000,0.000000
1756645488103,0.000000,1.419596,0.000000,0.000000,-8.338497,0.000000,0.000000,0.000000,0.000000
1756645488115,0.000000,1.320730,0.000000,0.000000,-8.501997,0.000000,0.000000,0.000000,0.000000
1756645488120,0.000000,1.281153,0.000000,0.000000,-8.501997,0.000000,0.000000,0.000000,0.000000
1756645488132,0.000000,1.178035,0.000000,0.000000,-8.665497,0.000000,0.000000,0.000000,0.000000
1756645488205,0.000000,0.559265,0.000000,0.000000,-8.319496,0.000000,0.000000,15.000000,0.000000
1756645488205,0.000000,0.555087,0.000000,0.000000,-8.319496,0.000000,0.000000,15.000000,0.000000
1756645488215,0.000000,0.473453,0.000000,0.000000,-8.232996,0.000000,0.000000,15.000000,0.000000
1756645488219,0.000000,0.437418,0.000000,0.000000,-8.232996,0.000000,0.000000,15.000000,0.000000
1756645488232,0.000000,0.336679,0.000000,0.000000,-8.146496,0.000000,0.000000,15.000000,0.000000
1756645488236,0.000000,0.304918,0.000000,0.000000,-8.146496,0.000000,0.000000,15.000000,0.000000
1756645488248,0.000000,0.267613,0.000000,0.000000,0.428993,0.000000,0.000000,15.000000,0.000000
1756645488254,0.000000,0.269939,0.000000,0.000000,0.428993,0.000000,0.000000,15.000000,0.000000
1756645488265,0.000000,0.275405,0.000000,0.000000,0.515493,0.000000,0.000000,15.000000,0.000000
1756645488270,0.000000,0.278116,0.000000,0.000000,0.515493,0.000000,0.000000,15.000000,0.000000
1756645488282,0.000000,0.284683,0.000000,0.000000,0.601993,0.000000,0.000000,15.000000,0.000000
1756645488286,0.000000,0.287026,0.000000,0.000000,0.601993,0.000000,0.000000,15.000000,0.000000
1756645488298,0.000000,0.295423,0.000000,0.000000,0.688493,0.000000,0.000000,15.000000,0.000000
1756645488303,0.000000,0.298376,0.000000,0.000000,0.688493,0.000000,0.000000,15.000000,0.000000
1756645488315,0.000000,0.307459,0.000000,0.000000,0.774993,0.000000,0.000000,15.000000,0.000000
1756645488332,0.000000,0.320998,0.000000,0.000000,0.861493,0.000000,0.000000,15.000000,0.000000
1756645488348,0.000000,0.336023,0.000000,0.000000,0.947993,0.000000,0.000000,15.000000,0.000000
1756645488365,0.000000,0.352596,0.000000,0.000000,1.034493,0.000000,0.000000,15.000000,0.000000
1756645488369,0.000000,0.356691,0.000000,0.000000,1.034493,0.000000,0.000000,15.000000,0.000000
1756645488382,0.000000,0.370515,0.000000,0.000000,1.120993,0.000000,0.000000,15.000000,0.000000
1756645488386,0.000000,0.375048,0.000000,0.000000,1.120993,0.000000,0.000000,15.000000,0.000000
1756645488398,0.000000,0.389770,0.000000,0.000000,1.207493,0.000000,0.000000,15.000000,0.000000
1756645488415,0.000000,0.410548,0.000000,0.000000,1.293993,0.000000,0.000000,15.000000,0.000000
1756645488432,0.000000,0.432891,0.000000,0.000000,1.380493,0.000000,0.000000,15.000000,0.000000
1756645488436,0.000000,0.438655,0.000000,0.000000,1.380493,0.000000,0.000000,15.000000,0.000000
1756645488448,0.000000,0.456439,0.000000,0.000000,1.466993,0.000000,0.000000,15.000000,0.000000
1756645488465,0.000000,0.481509,0.000000,0.000000,1.553493,0.000000,0.000000,15.000000,0.000000
1756645488482,0.000000,0.508165,0.000000,0.000000,1.639993,0.000000,0.000000,15.000000,0.000000
1756645488485,0.000000,0.514232,0.000000,0.000000,1.639993,0.000000,0.000000,15.000000,0.000000
1756645488498,0.000000,0.536191,0.000000,0.000000,1.726493,0.000000,0.000000,15.000000,0.000000
1756645488503,0.000000,0.543992,0.000000,0.000000,1.726493,0.000000,0.000000,15.000000,0.000000
1756645488515,0.000000,0.565503,0.000000,0.000000,1.812993,0.000000,0.000000,15.000000,0.000000
1756645488532,0.000000,0.596710,0.000000,0.000000,1.899493,0.000000,0.000000,15.000000,0.000000
1756645488535,0.000000,0.602361,0.000000,0.000000,1.899493,0.000000,0.000000,15.000000,0.000000
